Rk,Name,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 17,OWS,DWS,WS,WS/48,Unnamed: 22,OBPM,DBPM,BPM,VORP,Year,Team,Wins,Losses,Previous TS%,Previous TRB%,Previous AST%,Previous BPM,Previous VORP,Previous WS,Previous WS/48,Rookie,Previous VORP Team Rank,Previous TS% Team Rank,Previous TRB% Team Rank,Previous AST% Team Rank,Previous BPM Team Rank,Previous WS Team Rank,Previous WS/48 Team Rank,Top 5 Previous VORP Team Rank,Top 5 Previous TS% Team Rank,Top 5 Previous TRB% Team Rank,Top 5 Previous AST% Team Rank,Top 5 Previous BPM Team Rank,Top 5 Previous WS Team Rank,Top 5 Previous WS/48 Team Rank
1,Jamal Mashburn,27,76,2828,15.4,0.526,0.24,0.206,2.8,12.4,7.8,18.6,1.5,0.4,12.5,23.8,,3.1,3.2,6.4,0.109,,0.9,-0.4,0.5,1.8,2000,MIA,52,30,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,True,True,True,True,True,True
2,Alonzo Mourning,29,79,2748,25.8,0.596,0.003,0.4920000000000001,9.5,21.6,15.9,8.7,0.8,7.8,13.1,28.1,,7.3,5.6,12.9,0.226,,3.1,2.2,5.3,5.0,2000,MIA,52,30,,,,,,,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,True,True,True,True,True,True,True
3,Dan Majerle,34,69,2308,11.4,0.5589999999999999,0.72,0.16399999999999998,1.4,14.6,8.3,13.2,2.1,0.5,12.1,10.4,,2.8,3.3,6.1,0.126,,-0.2,2.1,1.9,2.3,2000,MIA,52,30,,,,,,,,,3.0,3.0,3.0,3.0,3.0,3.0,3.0,True,True,True,True,True,True,True
4,P.J. Brown,30,80,2302,15.3,0.516,0.001,0.237,11.4,18.4,15.1,10.3,1.5,1.9,11.9,17.1,,3.3,3.6,6.9,0.14300000000000002,,-0.3,0.6,0.3,1.4,2000,MIA,52,30,,,,,,,,,4.0,4.0,4.0,4.0,4.0,4.0,4.0,True,True,True,True,True,True,True
5,Anthony Carter,24,79,1859,11.0,0.442,0.045,0.244,3.1,9.0,6.2,31.7,2.7,0.2,23.5,18.5,,-1.0,2.4,1.4,0.036000000000000004,,-3.0,0.2,-2.7,-0.4,2000,MIA,52,30,,,,,,,,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,True,True,True,True,True,True,True
6,Tim Hardaway,33,52,1672,16.4,0.5,0.401,0.208,1.8,8.3,5.2,38.2,1.6,0.2,14.6,22.8,,2.6,1.6,4.3,0.123,,2.9,-1.1,1.8,1.6,2000,MIA,52,30,,,,,,,,,6.0,6.0,6.0,6.0,6.0,6.0,6.0,False,False,False,False,False,False,False
7,Clarence Weatherspoon,29,78,1615,16.2,0.5660000000000001,0.0,0.4370000000000001,9.6,21.9,16.1,9.3,1.7,2.2,16.7,17.3,,2.2,2.9,5.1,0.152,,0.0,1.2,1.2,1.3,2000,MIA,52,30,,,,,,,,,7.0,7.0,7.0,7.0,7.0,7.0,7.0,False,False,False,False,False,False,False
8,Voshon Lenard,26,53,1434,13.9,0.518,0.407,0.189,3.1,8.9,6.2,16.1,1.5,0.8,11.7,22.3,,1.5,1.5,3.0,0.1,,0.5,-0.4,0.1,0.8,2000,MIA,52,30,,,,,,,,,8.0,8.0,8.0,8.0,8.0,8.0,8.0,False,False,False,False,False,False,False
9,Otis Thorpe,37,51,777,11.1,0.528,0.012,0.198,8.8,15.6,12.4,7.2,1.8,0.8,18.3,19.4,,0.0,1.1,1.1,0.069,,-4.1,0.1,-4.0,-0.4,2000,MIA,52,30,,,,,,,,,9.0,9.0,9.0,9.0,9.0,9.0,9.0,False,False,False,False,False,False,False
10,Mark Strickland,29,58,663,17.2,0.5710000000000001,0.0,0.25,8.1,16.0,12.2,5.9,1.2,2.0,8.8,19.2,,1.3,0.9,2.2,0.161,,0.7,0.1,0.8,0.5,2000,MIA,52,30,,,,,,,,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,False,False,False,False,False,False,False
11,Bruce Bowen,28,27,567,7.1,0.509,0.463,0.256,2.8,9.1,6.1,4.7,1.3,1.3,9.4,12.2,,0.3,0.6,0.9,0.078,,-2.7,0.6,-2.1,0.0,2000,MIA,52,30,,,,,,,,,11.0,11.0,11.0,11.0,11.0,11.0,11.0,False,False,False,False,False,False,False
12,Rex Walters,29,33,389,8.0,0.474,0.22,0.17600000000000002,2.5,7.9,5.4,25.6,0.8,0.0,22.8,15.2,,0.0,0.3,0.3,0.034,,-3.4,-1.0,-4.4,-0.2,2000,MIA,52,30,,,,,,,,,12.0,12.0,12.0,12.0,12.0,12.0,12.0,False,False,False,False,False,False,False
13,Rodney Buford,22,34,386,11.2,0.457,0.192,0.146,3.1,10.9,7.2,9.2,1.4,1.5,5.3,20.5,,0.1,0.5,0.6,0.07200000000000001,,-2.5,-0.5,-3.0,-0.1,2000,MIA,52,30,,,,,,,,,13.0,13.0,13.0,13.0,13.0,13.0,13.0,False,False,False,False,False,False,False
14,Duane Causwell,31,25,185,14.1,0.614,0.0,1.027,7.2,21.5,14.7,1.7,0.6,6.3,15.7,16.1,,0.3,0.4,0.7,0.171,,-3.7,2.0,-1.7,0.0,2000,MIA,52,30,,,,,,,,,14.0,14.0,14.0,14.0,14.0,14.0,14.0,False,False,False,False,False,False,False
15,Harold Jamison,23,12,74,6.6,0.322,0.0,0.9,26.3,7.5,16.4,8.2,1.4,1.0,12.5,20.1,,-0.1,0.1,0.0,-0.017,,-5.5,-2.8,-8.3,-0.1,2000,MIA,52,30,,,,,,,,,15.0,15.0,15.0,15.0,15.0,15.0,15.0,False,False,False,False,False,False,False
16,Tim James,23,4,23,12.6,0.359,0.0,0.214,15.9,4.8,10.1,16.3,0.0,9.5,11.5,35.1,,-0.1,0.0,-0.1,-0.105,,-2.5,-2.5,-5.0,0.0,2000,MIA,52,30,,,,,,,,,16.0,16.0,16.0,16.0,16.0,16.0,16.0,False,False,False,False,False,False,False
1,Latrell Sprewell,29,82,3276,15.7,0.515,0.097,0.304,1.8,10.5,6.3,18.2,1.8,0.5,13.2,24.7,,2.5,4.1,6.6,0.097,,0.5,0.5,1.0,2.5,2000,NYK,50,32,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,True,True,True,True,True,True
2,Allan Houston,28,82,3169,16.5,0.569,0.191,0.263,1.5,8.5,5.1,13.2,1.1,0.3,11.6,24.0,,5.5,3.1,8.6,0.13,,1.8,-0.2,1.7,2.9,2000,NYK,50,32,,,,,,,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,True,True,True,True,True,True,True
3,Larry Johnson,30,70,2281,12.4,0.517,0.267,0.256,4.7,14.8,9.9,12.6,1.0,0.2,11.5,17.0,,2.3,2.7,5.1,0.107,,0.3,0.4,0.7,1.6,2000,NYK,50,32,,,,,,,,,3.0,3.0,3.0,3.0,3.0,3.0,3.0,True,True,True,True,True,True,True
4,Patrick Ewing,37,62,2035,16.9,0.516,0.003,0.365,8.4,26.2,17.6,5.2,1.0,3.1,13.6,24.3,,0.9,3.9,4.8,0.113,,-0.6,0.4,-0.2,0.9,2000,NYK,50,32,,,,,,,,,4.0,4.0,4.0,4.0,4.0,4.0,4.0,True,True,True,True,True,True,True
5,Charlie Ward,29,72,1986,13.6,0.5589999999999999,0.591,0.13,1.4,11.9,6.8,23.8,2.6,0.6,17.8,13.7,,2.5,3.0,5.5,0.133,,0.3,2.5,2.8,2.4,2000,NYK,50,32,,,,,,,,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,True,True,True,True,True,True,True
