,TeamID,SEASON,LeagueID,PLAYER,NICKNAME,PLAYER_SLUG,NUM,POSITION,HEIGHT,WEIGHT,BIRTH_DATE,AGE,EXP,SCHOOL,PLAYER_ID
0,1610612738,2000,00,Walter McCarty,Walter,walter-mccarty,0,F,6-10,230,"FEB 01, 1974",27.0,4,Kentucky,962
1,1610612738,2000,00,Tony Battie,Tony,tony-battie,4,C-F,6-11,240,"FEB 11, 1976",25.0,3,Texas Tech,1499
2,1610612738,2000,00,Jerome Moiso,Jerome,jerome-moiso,5,F,6-10,232,"JUN 15, 1978",23.0,R,UCLA,2040
3,1610612738,2000,00,Antoine Walker,Antoine,antoine-walker,8,F,6-9,245,"AUG 12, 1976",24.0,4,Kentucky,952
4,1610612738,2000,00,Milt Palacio,Milt,milt-palacio,9,G,6-3,195,"FEB 07, 1978",23.0,1,Colorado State,1960
5,1610612738,2000,00,Chris Herren,Chris,chris-herren,12,G,6-2,190,"SEP 27, 1975",25.0,1,Fresno State,1914
6,1610612738,2000,00,Bryant Stith,Bryant,bryant-stith,20,G,6-5,210,"DEC 10, 1970",30.0,8,Virginia,179
7,1610612738,2000,00,Mark Blount,Mark,mark-blount,30,C,7-0,230,"NOV 30, 1975",25.0,R,Pittsburgh,1548
8,1610612738,2000,00,Paul Pierce,Paul,paul-pierce,34,F-G,6-6,230,"OCT 13, 1977",23.0,2,Kansas,1718
9,1610612738,2000,00,Adrian Griffin,Adrian,adrian-griffin,44,G-F,6-5,215,"JUL 04, 1974",26.0,1,Seton Hall,1559
10,1610612738,2000,00,Vitaly Potapenko,Vitaly,vitaly-potapenko,52,C-F,6-10,285,"MAR 21, 1975",26.0,4,Wright State,958
11,1610612738,2000,00,Eric Williams,Eric,eric-williams,55,F,6-8,220,"JUL 17, 1972",28.0,5,Providence,677
0,1610612738,2001,00,Walter McCarty,Walter,walter-mccarty,0,F,6-10,230,"FEB 01, 1974",28.0,5,Kentucky,962
1,1610612738,2001,00,Tony Battie,Tony,tony-battie,4,C-F,6-11,240,"FEB 11, 1976",26.0,4,Texas Tech,1499
2,1610612738,2001,00,Kenny Anderson,Kenny,kenny-anderson,7,G,6-1,168,"OCT 09, 1970",31.0,10,Georgia Tech,72
3,1610612738,2001,00,Antoine Walker,Antoine,antoine-walker,8,F,6-9,245,"AUG 12, 1976",25.0,5,Kentucky,952
4,1610612738,2001,00,Omar Cook,Omar,omar-cook,12,G,6-1,190,"JAN 28, 1982",20.0,R,St. John's,2241
5,1610612738,2001,00,Erick Strickland,Erick,erick-strickland,20,G,6-3,218,"NOV 25, 1973",28.0,5,Nebraska,1065
6,1610612738,2001,00,Tony Delk,Tony,tony-delk,28,G,6-2,189,"JAN 28, 1974",28.0,5,Kentucky,960
7,1610612738,2001,00,Mark Blount,Mark,mark-blount,30,C,7-0,250,"NOV 30, 1975",26.0,1,Pittsburgh,1548
8,1610612738,2001,00,Paul Pierce,Paul,paul-pierce,34,F-G,6-6,230,"OCT 13, 1977",24.0,3,Kansas,1718
9,1610612738,2001,00,Kedrick Brown,Kedrick,kedrick-brown,42,G-F,6-7,222,"MAR 18, 1981",21.0,R,Northwest Florida State,2208
10,1610612738,2001,00,Vitaly Potapenko,Vitaly,vitaly-potapenko,52,C-F,6-10,285,"MAR 21, 1975",27.0,5,Wright State,958
11,1610612738,2001,00,Rodney Rogers,Rodney,rodney-rogers,54,F,6-7,255,"JUN 20, 1971",31.0,8,Wake Forest,915
12,1610612738,2001,00,Eric Williams,Eric,eric-williams,55,G-F,6-8,220,"JUL 17, 1972",29.0,6,Providence,677
0,1610612738,2002,00,Walter McCarty,Walter,walter-mccarty,0,F,6-10,230,"FEB 01, 1974",29.0,6,Kentucky,962
1,1610612738,2002,00,Tony Battie,Tony,tony-battie,4,C-F,6-11,240,"FEB 11, 1976",27.0,5,Texas Tech,1499
2,1610612738,2002,00,Kedrick Brown,Kedrick,kedrick-brown,5,G-F,6-7,222,"MAR 18, 1981",22.0,1,Northwest Florida State,2208
3,1610612738,2002,00,Tony Delk,Tony,tony-delk,7,G,6-2,189,"JAN 28, 1974",29.0,6,Kentucky,960
4,1610612738,2002,00,Antoine Walker,Antoine,antoine-walker,8,F,6-9,245,"AUG 12, 1976",26.0,6,Kentucky,952
5,1610612738,2002,00,J.R. Bremer,J.R.,jr-bremer,9,G,6-2,185,"SEP 19, 1980",22.0,R,St. Bonaventure,2452
6,1610612738,2002,00,Shammond Williams,Shammond,shammond-williams,11,G,6-1,201,"APR 05, 1975",28.0,4,North Carolina,1742
7,1610612738,2002,00,Paul Pierce,Paul,paul-pierce,34,F-G,6-6,230,"OCT 13, 1977",25.0,4,Kansas,1718
8,1610612738,2002,00,Bruno Sundov,Bruno,bruno-sundov,41,C,7-2,246,"FEB 10, 1980",23.0,4,Split,1743
9,1610612738,2002,00,Vin Baker,Vin,vin-baker,42,F,6-11,250,"NOV 23, 1971",31.0,9,Hartford,452
10,1610612738,2002,00,Ruben Wolkowyski,Ruben,ruben-wolkowyski,45,F,6-10,275,"SEP 30, 1973",29.0,1,Estudiantes de Olavarria,2106
11,1610612738,2002,00,Eric Williams,Eric,eric-williams,55,G-F,6-8,220,"JUL 17, 1972",30.0,7,Providence,677
0,1610612738,2003,00,Dana Barros,Dana,dana-barros,,G,5-11,165,"APR 13, 1967",37.0,13,Boston College,344
1,1610612738,2003,00,Walter McCarty,Walter,walter-mccarty,0,F,6-10,230,"FEB 01, 1974",30.0,7,Kentucky,962
2,1610612738,2003,00,Chris Mihm,Chris,chris-mihm,4,C-F,7-0,265,"JUL 16, 1979",24.0,3,Texas-Austin,2036
3,1610612738,2003,00,Michael Stewart,Michael,michael-stewart,5,F,6-10,230,"APR 25, 1975",29.0,6,California,1565
4,1610612738,2003,00,Chucky Atkins,Chucky,chucky-atkins,7,G,5-11,160,"AUG 14, 1974",29.0,4,South Florida,1088
5,1610612738,2003,00,Marcus Banks,Marcus,marcus-banks,11,G,6-2,200,"NOV 19, 1981",22.0,R,UNLV,2556
6,1610612738,2003,00,Ricky Davis,Ricky,ricky-davis,12,G,6-7,195,"SEP 23, 1979",24.0,5,Iowa,1729
7,1610612738,2003,00,Jumaine Jones,Jumaine,jumaine-jones,20,F,6-8,218,"FEB 10, 1979",25.0,4,Georgia,1908
8,1610612738,2003,00,Mark Blount,Mark,mark-blount,30,C,7-0,250,"NOV 30, 1975",28.0,3,Pittsburgh,1548
9,1610612738,2003,00,Paul Pierce,Paul,paul-pierce,34,G-F,6-6,230,"OCT 13, 1977",26.0,5,Kansas,1718
10,1610612738,2003,00,Kendrick Perkins,Kendrick,kendrick-perkins,43,C,6-10,280,"NOV 10, 1984",19.0,R,Clifton J. Ozen HS (TX),2570
11,1610612738,2003,00,Jiri Welsch,Jiri,jiri-welsch,44,F-G,6-7,208,"JAN 27, 1980",24.0,1,Union Olimpija,2412
12,1610612738,2003,00,Raef LaFrentz,Raef,raef-lafrentz,45,C-F,6-11,245,"MAY 29, 1976",28.0,5,Kansas,1711
13,1610612738,2003,00,Ernest Brown,Ernest,ernest-brown,52,C,7-0,244,"MAY 17, 1979",25.0,1,Indian Hills C.C.,2081
14,1610612738,2003,00,Brandon Hunter,Brandon,brandon-hunter,56,F,6-7,260,"NOV 24, 1980",23.0,R,Ohio,2599
0,1610612738,2004,00,Al Jefferson,Al,al-jefferson,7,F,6-10,265,"JAN 04, 1985",20.0,R,Prentiss HS (MS),2744
1,1610612738,2004,00,Antoine Walker,Antoine,antoine-walker,8,F,6-9,245,"AUG 12, 1976",28.0,8,Kentucky,952
2,1610612738,2004,00,Justin Reed,Justin,justin-reed,9,F,6-8,240,"JAN 16, 1982",23.0,R,Mississippi,2770
3,1610612738,2004,00,Marcus Banks,Marcus,marcus-banks,11,G,6-2,200,"NOV 19, 1981",23.0,1,UNLV,2556
4,1610612738,2004,00,Ricky Davis,Ricky,ricky-davis,12,F,6-7,195,"SEP 23, 1979",25.0,6,Iowa,1729
5,1610612738,2004,00,Delonte West,Delonte,delonte-west,13,G,6-4,180,"JUL 26, 1983",21.0,R,St. Joseph's (PA),2753
6,1610612738,2004,00,Gary Payton,Gary,gary-payton,20,G,6-4,180,"JUL 23, 1968",36.0,14,Oregon State,56
7,1610612738,2004,00,Mark Blount,Mark,mark-blount,30,C,7-0,250,"NOV 30, 1975",29.0,4,Pittsburgh,1548
8,1610612738,2004,00,Paul Pierce,Paul,paul-pierce,34,F-G,6-6,230,"OCT 13, 1977",27.0,6,Kansas,1718
9,1610612738,2004,00,Tony Allen,Tony,tony-allen,42,G,6-4,213,"JAN 11, 1982",23.0,R,Oklahoma State,2754
10,1610612738,2004,00,Kendrick Perkins,Kendrick,kendrick-perkins,43,C,6-10,280,"NOV 10, 1984",20.0,1,Clifton J. Ozen HS (TX),2570
11,1610612738,2004,00,Raef LaFrentz,Raef,raef-lafrentz,45,F,6-11,245,"MAY 29, 1976",29.0,6,Kansas,1711
0,1610612738,2005,00,Orien Greene,Orien,orien-greene,0,G,6-4,208,"FEB 04, 1982",24.0,R,Louisiana-Lafayette,101158
1,1610612738,2005,00,Ryan Gomes,Ryan,ryan-gomes,4,F,6-7,250,"SEP 01, 1982",23.0,R,Providence,101155
2,1610612738,2005,00,Gerald Green,Gerald,gerald-green,5,G-F,6-8,200,"JAN 26, 1986",20.0,R,No College,101123
3,1610612738,2005,00,Al Jefferson,Al,al-jefferson,7,F,6-10,265,"JAN 04, 1985",21.0,1,Prentiss HS (MS),2744
4,1610612738,2005,00,Delonte West,Delonte,delonte-west,13,G,6-4,180,"JUL 26, 1983",22.0,1,St. Joseph's (PA),2753
5,1610612738,2005,00,Dan Dickau,Dan,dan-dickau,20,G,6-0,190,"SEP 16, 1978",27.0,3,Gonzaga,2424
6,1610612738,2005,00,Dwayne Jones,Dwayne,dwayne-jones,27,F-C,6-11,250,"JUN 09, 1983",23.0,R,St. Joseph's (PA),101204
7,1610612738,2005,00,Paul Pierce,Paul,paul-pierce,34,F-G,6-6,230,"OCT 13, 1977",28.0,7,Kansas,1718
8,1610612738,2005,00,Michael Olowokandi,Michael,michael-olowokandi,41,C,7-0,270,"APR 03, 1975",31.0,7,Pacific,1709
9,1610612738,2005,00,Tony Allen,Tony,tony-allen,42,G,6-4,213,"JAN 11, 1982",24.0,1,Oklahoma State,2754
10,1610612738,2005,00,Kendrick Perkins,Kendrick,kendrick-perkins,43,C,6-10,280,"NOV 10, 1984",21.0,2,Clifton J. Ozen HS (TX),2570
11,1610612738,2005,00,Brian Scalabrine,Brian,brian-scalabrine,44,F,6-9,235,"MAR 18, 1978",28.0,4,Southern California,2243
12,1610612738,2005,00,Raef LaFrentz,Raef,raef-lafrentz,45,F,6-11,245,"MAY 29, 1976",30.0,7,Kansas,1711
13,1610612738,2005,00,Wally Szczerbiak,Wally,wally-szczerbiak,55,F,6-7,244,"MAR 05, 1977",29.0,6,Miami (Ohio),1887
0,1610612738,2006,00,Leon Powe,Leon,leon-powe,0,F,6-8,240,"JAN 22, 1984",23.0,R,California,200796
1,1610612738,2006,00,Ryan Gomes,Ryan,ryan-gomes,4,F,6-7,250,"SEP 01, 1982",24.0,1,Providence,101155
2,1610612738,2006,00,Gerald Green,Gerald,gerald-green,5,G-F,6-8,200,"JAN 26, 1986",21.0,1,No College,101123
3,1610612738,2006,00,Al Jefferson,Al,al-jefferson,7,F-C,6-10,256,"JAN 04, 1985",22.0,2,Prentiss HS (MS),2744
4,1610612738,2006,00,Rajon Rondo,Rajon,rajon-rondo,9,G,6-1,171,"FEB 22, 1986",21.0,R,Kentucky,200765
5,1610612738,2006,00,Allan Ray,Allan,allan-ray,12,G,6-2,190,"JUN 17, 1984",23.0,R,Villanova,200810
6,1610612738,2006,00,Delonte West,Delonte,delonte-west,13,G,6-4,180,"JUL 26, 1983",23.0,2,St. Joseph's (PA),2753
7,1610612738,2006,00,Sebastian Telfair,Sebastian,sebastian-telfair,30,G,6-0,160,"JUN 09, 1985",22.0,2,Abraham Lincoln HS (NY),2742
8,1610612738,2006,00,Paul Pierce,Paul,paul-pierce,34,G-F,6-6,230,"OCT 13, 1977",29.0,8,Kansas,1718
9,1610612738,2006,00,Michael Olowokandi,Michael,michael-olowokandi,41,C,7-0,270,"APR 03, 1975",32.0,8,Pacific,1709
10,1610612738,2006,00,Tony Allen,Tony,tony-allen,42,G,6-4,213,"JAN 11, 1982",25.0,2,Oklahoma State,2754
11,1610612738,2006,00,Kendrick Perkins,Kendrick,kendrick-perkins,43,C,6-10,280,"NOV 10, 1984",22.0,3,Clifton J. Ozen HS (TX),2570
12,1610612738,2006,00,Brian Scalabrine,Brian,brian-scalabrine,44,F-C,6-9,235,"MAR 18, 1978",29.0,5,Southern California,2243
13,1610612738,2006,00,Theo Ratliff,Theo,theo-ratliff,50,C-F,6-10,235,"APR 17, 1973",34.0,11,Wyoming,689
14,1610612738,2006,00,Wally Szczerbiak,Wally,wally-szczerbiak,55,F,6-7,244,"MAR 05, 1977",30.0,7,Miami (Ohio),1887
0,1610612738,2007,00,Leon Powe,Leon,leon-powe,0,F,6-8,240,"JAN 22, 1984",24.0,1,California,200796
1,1610612738,2007,00,Kevin Garnett,Kevin,kevin-garnett,5,F,6-11,220,"MAY 19, 1976",32.0,12,Farragut Academy HS (IL),708
2,1610612738,2007,00,Rajon Rondo,Rajon,rajon-rondo,9,G,6-1,171,"FEB 22, 1986",22.0,1,Kentucky,200765
3,1610612738,2007,00,Glen Davis,Glen,glen-davis,11,F,6-9,289,"JAN 01, 1986",22.0,R,Louisiana State,201175
4,1610612738,2007,00,Gabe Pruitt,Gabe,gabe-pruitt,13,G,6-4,170,"APR 19, 1986",22.0,R,Southern California,201172
5,1610612738,2007,00,Ray Allen,Ray,ray-allen,20,G,6-5,205,"JUL 20, 1975",32.0,11,Connecticut,951
6,1610612738,2007,00,Sam Cassell,Sam,sam-cassell,28,G,6-3,185,"NOV 18, 1969",38.0,14,Florida State,208
7,1610612738,2007,00,Paul Pierce,Paul,paul-pierce,34,F,6-7,235,"OCT 13, 1977",30.0,9,Kansas,1718
8,1610612738,2007,00,James Posey,James,james-posey,41,F,6-8,217,"JAN 13, 1977",31.0,8,Xavier,1899
9,1610612738,2007,00,Tony Allen,Tony,tony-allen,42,G,6-4,213,"JAN 11, 1982",26.0,3,Oklahoma State,2754
10,1610612738,2007,00,Kendrick Perkins,Kendrick,kendrick-perkins,43,C,6-10,264,"NOV 10, 1984",23.0,4,Clifton J. Ozen HS (TX),2570
11,1610612738,2007,00,Brian Scalabrine,Brian,brian-scalabrine,44,F-C,6-9,235,"MAR 18, 1978",30.0,6,Southern California,2243
12,1610612738,2007,00,Eddie House,Eddie,eddie-house,50,G,6-1,175,"MAY 14, 1978",30.0,7,Arizona State,2067
13,1610612738,2007,00,Scot Pollard,Scot,scot-pollard,66,C-F,6-11,278,"FEB 12, 1975",33.0,10,Kansas,1513
14,1610612738,2007,00,P.J. Brown,P.J.,pj-brown,93,F-C,6-11,239,"OCT 14, 1969",38.0,14,Louisiana Tech,136
0,1610612738,2008,00,Leon Powe,Leon,leon-powe,0,F,6-8,240,"JAN 22, 1984",25.0,2,California,200796
1,1610612738,2008,00,J.R. Giddens,J.R.,jr-giddens,4,G,6-5,215,"FEB 13, 1985",24.0,R,New Mexico,201592
2,1610612738,2008,00,Kevin Garnett,Kevin,kevin-garnett,5,F,6-11,253,"MAY 19, 1976",33.0,13,Farragut Academy HS (IL),708
3,1610612738,2008,00,Mikki Moore,Mikki,mikki-moore,7,F-C,7-0,225,"NOV 04, 1975",33.0,10,Nebraska,1630
4,1610612738,2008,00,Stephon Marbury,Stephon,stephon-marbury,8,G,6-2,205,"FEB 20, 1977",32.0,12,Georgia Tech,950
5,1610612738,2008,00,Rajon Rondo,Rajon,rajon-rondo,9,G,6-1,171,"FEB 22, 1986",23.0,2,Kentucky,200765
6,1610612738,2008,00,Glen Davis,Glen,glen-davis,11,F,6-9,289,"JAN 01, 1986",23.0,1,Louisiana State,201175
7,1610612738,2008,00,Henry Walker,Henry,henry-walker,12,G-F,6-6,220,"OCT 09, 1987",21.0,R,Kansas State,201611
8,1610612738,2008,00,Gabe Pruitt,Gabe,gabe-pruitt,13,G,6-4,170,"APR 19, 1986",23.0,1,Southern California,201172
9,1610612738,2008,00,Ray Allen,Ray,ray-allen,20,G,6-5,205,"JUL 20, 1975",33.0,12,Connecticut,951
10,1610612738,2008,00,Paul Pierce,Paul,paul-pierce,34,F,6-7,235,"OCT 13, 1977",31.0,10,Kansas,1718
11,1610612738,2008,00,Tony Allen,Tony,tony-allen,42,G,6-4,213,"JAN 11, 1982",27.0,4,Oklahoma State,2754
12,1610612738,2008,00,Kendrick Perkins,Kendrick,kendrick-perkins,43,C,6-10,280,"NOV 10, 1984",24.0,5,Clifton J. Ozen HS (TX),2570
13,1610612738,2008,00,Brian Scalabrine,Brian,brian-scalabrine,44,C-F,6-9,235,"MAR 18, 1978",31.0,7,Southern California,2243
14,1610612738,2008,00,Eddie House,Eddie,eddie-house,50,G,6-1,175,"MAY 14, 1978",31.0,8,Arizona State,2067
0,1610612738,2009,00,Tony Gaffney,Tony,tony-gaffney,,F,6-8,205,"NOV 14, 1984",25.0,R,Massachusetts,202070
1,1610612738,2009,00,Oliver Lafayette,Oliver,oliver-lafayette,0,G,6-2,190,"MAY 06, 1984",26.0,R,Houston,201802
2,1610612738,2009,00,Nate Robinson,Nate,nate-robinson,4,G,5-9,180,"MAY 31, 1984",26.0,4,Washington,101126
3,1610612738,2009,00,Kevin Garnett,Kevin,kevin-garnett,5,F,6-11,253,"MAY 19, 1976",34.0,14,Farragut Academy HS (IL),708
4,1610612738,2009,00,Marquis Daniels,Marquis,marquis-daniels,7,G,6-6,200,"JAN 07, 1981",29.0,6,Auburn,2605
