,TeamID,SEASON,LeagueID,PLAYER,NICKNAME,PLAYER_SLUG,NUM,POSITION,HEIGHT,WEIGHT,BIRTH_DATE,AGE,EXP,SCHOOL,PLAYER_ID
0,1610612737,2000,00,DerMarr Johnson,DerMarr,dermarr-johnson,1,F,6-9,201,"MAY 05, 1980",21.0,R,Cincinnati,2035
1,1610612737,2000,00,Nazr Mohammed,Nazr,nazr-mohammed,2,C,6-10,240,"SEP 05, 1977",23.0,2,Kentucky,1737
2,1610612737,2000,00,Cal Bowdler,Cal,cal-bowdler,3,F,6-10,245,"MAR 31, 1977",24.0,1,Old Dominion,1898
3,1610612737,2000,00,Chris Crawford,Chris,chris-crawford,4,F,6-9,235,"MAY 13, 1975",26.0,3,Marquette,1544
4,1610612737,2000,00,Dion Glover,Dion,dion-glover,5,G,6-5,228,"OCT 22, 1978",22.0,1,Georgia Tech,1901
5,1610612737,2000,00,Toni Kukoc,Toni,toni-kukoc,7,F,6-11,235,"SEP 18, 1968",32.0,7,Benetton Treviso,389
6,1610612737,2000,00,Matt Maloney,Matt,matt-maloney,12,G,6-3,200,"DEC 06, 1971",29.0,4,Pennsylvania,1074
7,1610612737,2000,00,Hanno Mottola,Hanno,hanno-mottola,13,F,6-11,247,"SEP 09, 1976",24.0,R,Utah,2069
8,1610612737,2000,00,Brevin Knight,Brevin,brevin-knight,22,G,5-10,170,"NOV 08, 1975",25.0,3,Stanford,1510
9,1610612737,2000,00,Jason Terry,Jason,jason-terry,31,G,6-2,172,"SEP 15, 1977",23.0,1,Arizona,1891
10,1610612737,2000,00,Lorenzen Wright,Lorenzen,lorenzen-wright,42,F-C,6-11,240,"NOV 04, 1975",25.0,4,Memphis,953
11,1610612737,2000,00,Alan Henderson,Alan,alan-henderson,44,F-C,6-9,235,"DEC 02, 1972",28.0,5,Indiana,673
0,1610612737,2001,00,DerMarr Johnson,DerMarr,dermarr-johnson,1,G-F,6-9,201,"MAY 05, 1980",22.0,1,Cincinnati,2035
1,1610612737,2001,00,Nazr Mohammed,Nazr,nazr-mohammed,2,C,6-10,250,"SEP 05, 1977",24.0,3,Kentucky,1737
2,1610612737,2001,00,Shareef Abdur-Rahim,Shareef,shareef-abdur-rahim,3,F,6-9,230,"DEC 11, 1976",25.0,5,California,949
3,1610612737,2001,00,Dion Glover,Dion,dion-glover,5,F-G,6-5,228,"OCT 22, 1978",23.0,2,Georgia Tech,1901
4,1610612737,2001,00,Cal Bowdler,Cal,cal-bowdler,6,F,6-10,253,"MAR 31, 1977",25.0,2,Old Dominion,1898
5,1610612737,2001,00,Toni Kukoc,Toni,toni-kukoc,7,F,6-11,235,"SEP 18, 1968",33.0,8,Benetton Treviso,389
6,1610612737,2001,00,Jacque Vaughn,Jacque,jacque-vaughn,11,G,6-1,190,"FEB 11, 1975",27.0,4,Kansas,1521
7,1610612737,2001,00,Hanno Mottola,Hanno,hanno-mottola,13,C-F,6-11,247,"SEP 09, 1976",25.0,1,Utah,2069
8,1610612737,2001,00,Ira Newble,Ira,ira-newble,14,F,6-7,215,"JAN 20, 1975",27.0,1,Miami (Ohio),1956
9,1610612737,2001,00,Mark Strickland,Mark,mark-strickland,30,F,6-10,220,"JUL 14, 1970",31.0,6,Temple,1110
10,1610612737,2001,00,Jason Terry,Jason,jason-terry,31,G,6-2,176,"SEP 15, 1977",24.0,2,Arizona,1891
11,1610612737,2001,00,Leon Smith,Leon,leon-smith,41,F,6-10,235,"NOV 02, 1980",21.0,R,Martin Luther King HS (IL),1910
12,1610612737,2001,00,Alan Henderson,Alan,alan-henderson,44,F-C,6-9,240,"DEC 02, 1972",29.0,6,Indiana,673
0,1610612737,2002,00,Nazr Mohammed,Nazr,nazr-mohammed,2,C,6-10,250,"SEP 05, 1977",25.0,4,Kentucky,1737
1,1610612737,2002,00,Shareef Abdur-Rahim,Shareef,shareef-abdur-rahim,3,F,6-9,240,"DEC 11, 1976",26.0,6,California,949
2,1610612737,2002,00,Antonio Harvey,Antonio,antonio-harvey,4,F-C,6-11,250,"JUL 06, 1970",32.0,7,Pfeiffer,176
3,1610612737,2002,00,Chris Crawford,Chris,chris-crawford,4,F,6-9,235,"MAY 13, 1975",28.0,5,Marquette,1544
4,1610612737,2002,00,Dion Glover,Dion,dion-glover,5,F-G,6-5,228,"OCT 22, 1978",24.0,3,Georgia Tech,1901
5,1610612737,2002,00,Maurice Carter,Maurice,maurice-carter,7,G,6-5,210,"OCT 12, 1976",26.0,R,Louisiana State,2466
6,1610612737,2002,00,Darvin Ham,Darvin,darvin-ham,8,F-G,6-7,230,"JUL 23, 1973",29.0,5,Texas Tech,1032
7,1610612737,2002,00,Dan Dickau,Dan,dan-dickau,12,G,6-0,190,"SEP 16, 1978",24.0,R,Gonzaga,2424
8,1610612737,2002,00,Glenn Robinson,Glenn,glenn-robinson,13,F,6-7,230,"JAN 10, 1973",30.0,8,Purdue,299
9,1610612737,2002,00,Ira Newble,Ira,ira-newble,14,F,6-7,220,"JAN 20, 1975",28.0,2,Miami (Ohio),1956
10,1610612737,2002,00,Emanual Davis,Emanual,emanual-davis,15,G,6-5,195,"AUG 27, 1968",34.0,5,Delaware State,1023
11,1610612737,2002,00,Mario Bennett,Mario,mario-bennett,24,C-F,6-9,235,"AUG 01, 1973",29.0,4,Arizona State,712
12,1610612737,2002,00,Jason Terry,Jason,jason-terry,31,G,6-2,180,"SEP 15, 1977",25.0,3,Arizona,1891
13,1610612737,2002,00,Theo Ratliff,Theo,theo-ratliff,42,C-F,6-10,230,"APR 17, 1973",30.0,7,Wyoming,689
