,TeamID,SEASON,LeagueID,PLAYER,NICKNAME,PLAYER_SLUG,NUM,POSITION,HEIGHT,WEIGHT,BIRTH_DATE,AGE,EXP,SCHOOL,PLAYER_ID
0,1610612766,2000,00,Baron Davis,Baron,baron-davis,1,G,6-3,212,"APR 13, 1979",22.0,1,UCLA,1884
1,1610612766,2000,00,Scott Burrell,Scott,scott-burrell,2,G,6-7,218,"JAN 12, 1971",30.0,7,Connecticut,197
2,1610612766,2000,00,Eldridge Recasner,Eldridge,eldridge-recasner,3,G,6-4,192,"DEC 14, 1967",33.0,6,Washington,695
3,1610612766,2000,00,David Wesley,David,david-wesley,4,G,6-1,211,"NOV 14, 1970",30.0,7,Baylor,133
4,1610612766,2000,00,Elden Campbell,Elden,elden-campbell,5,C-F,7-0,275,"JUL 23, 1968",32.0,10,Clemson,922
5,1610612766,2000,00,Jamaal Magloire,Jamaal,jamaal-magloire,21,C,6-10,260,"MAY 21, 1978",23.0,R,Kentucky,2048
6,1610612766,2000,00,Jamal Mashburn,Jamal,jamal-mashburn,24,F,6-8,241,"NOV 29, 1972",28.0,7,Kentucky,469
7,1610612766,2000,00,Eddie Robinson,Eddie,eddie-robinson,32,F,6-9,205,"APR 19, 1976",25.0,1,Central Oklahoma,1944
8,1610612766,2000,00,Hersey Hawkins,Hersey,hersey-hawkins,33,G,6-3,200,"SEP 29, 1966",34.0,12,Bradley,765
9,1610612766,2000,00,P.J. Brown,P.J.,pj-brown,42,F,6-11,240,"OCT 14, 1969",31.0,7,Louisiana Tech,136
10,1610612766,2000,00,Derrick Coleman,Derrick,derrick-coleman,44,F,6-10,270,"JUN 21, 1967",34.0,10,Syracuse,934
11,1610612766,2000,00,Otis Thorpe,Otis,otis-thorpe,52,C-F,6-10,248,"AUG 05, 1962",38.0,16,Providence,901
0,1610612766,2001,00,Baron Davis,Baron,baron-davis,1,G,6-3,223,"APR 13, 1979",23.0,2,UCLA,1884
1,1610612766,2001,00,Stacey Augmon,Stacey,stacey-augmon,2,F-G,6-8,213,"AUG 01, 1968",33.0,10,UNLV,278
2,1610612766,2001,00,David Wesley,David,david-wesley,4,G,6-1,203,"NOV 14, 1970",31.0,8,Baylor,133
3,1610612766,2001,00,Elden Campbell,Elden,elden-campbell,5,C-F,7-0,279,"JUL 23, 1968",33.0,11,Clemson,922
4,1610612766,2001,00,George Lynch,George,george-lynch,9,F,6-8,228,"SEP 03, 1970",31.0,8,North Carolina,248
5,1610612766,2001,00,Bryce Drew,Bryce,bryce-drew,17,G,6-3,184,"SEP 21, 1974",27.0,3,Valparaiso,1724
6,1610612766,2001,00,Jamaal Magloire,Jamaal,jamaal-magloire,21,C,6-11,259,"MAY 21, 1978",24.0,1,Kentucky,2048
7,1610612766,2001,00,Jamal Mashburn,Jamal,jamal-mashburn,24,F,6-8,247,"NOV 29, 1972",29.0,8,Kentucky,469
8,1610612766,2001,00,Robert Traylor,Robert,robert-traylor,34,F-C,6-8,284,"FEB 01, 1977",25.0,3,Michigan,1714
9,1610612766,2001,00,Kirk Haston,Kirk,kirk-haston,35,F,6-9,242,"MAR 10, 1979",23.0,R,Indiana,2213
10,1610612766,2001,00,P.J. Brown,P.J.,pj-brown,42,F,6-11,239,"OCT 14, 1969",32.0,8,Louisiana Tech,136
11,1610612766,2001,00,Lee Nailon,Lee,lee-nailon,54,F,6-9,238,"FEB 22, 1975",27.0,1,TCU,1924
0,1610612766,2004,00,Jason Hart,Jason,jason-hart,1,G,6-3,185,"APR 29, 1978",27.0,3,Syracuse,2078
1,1610612766,2004,00,Melvin Ely,Melvin,melvin-ely,2,F-C,6-10,261,"MAY 02, 1978",27.0,2,Fresno State,2408
2,1610612766,2004,00,Gerald Wallace,Gerald,gerald-wallace,3,F,6-7,215,"JUL 23, 1982",22.0,3,Alabama,2222
3,1610612766,2004,00,Primoz Brezec,Primoz,primoz-brezec,7,C,7-1,252,"OCT 02, 1979",25.0,3,Union Olimpija,2056
4,1610612766,2004,00,Keith Bogans,Keith,keith-bogans,10,G,6-5,215,"MAY 12, 1980",25.0,1,Kentucky,2586
5,1610612766,2004,00,Cory Alexander,Cory,cory-alexander,12,G,6-1,190,"JUN 22, 1973",32.0,6,Virginia,724
6,1610612766,2004,00,Matt Carroll,Matt,matt-carroll,13,G,6-6,212,"AUG 28, 1980",24.0,1,Notre Dame,2679
7,1610612766,2004,00,Bernard Robinson,Bernard,bernard-robinson,21,G-F,6-6,210,"DEC 26, 1980",24.0,R,Michigan,2774
