,TeamID,SEASON,LeagueID,PLAYER,NICKNAME,PLAYER_SLUG,NUM,POSITION,HEIGHT,WEIGHT,BIRTH_DATE,AGE,EXP,SCHOOL,PLAYER_ID
0,1610612751,2000,00,Doug Overton,Doug,doug-overton,2,G,6-3,190,"AUG 03, 1969",31.0,8,La Salle,77
1,1610612751,2000,00,Jamel Thomas,Jamel,jamel-thomas,5,F,6-6,219,"JUL 19, 1976",24.0,1,Providence,1975
2,1610612751,2000,00,Lucious Harris,Lucious,lucious-harris,12,G,6-5,205,"DEC 18, 1970",30.0,7,Long Beach State,446
3,1610612751,2000,00,Johnny Newman,Johnny,johnny-newman,20,F,6-7,210,"NOV 28, 1963",37.0,14,Richmond,271
4,1610612751,2000,00,Eddie Gill,Eddie,eddie-gill,21,G,6-0,190,"AUG 16, 1978",22.0,R,Weber State,2109
5,1610612751,2000,00,Stephen Jackson,Stephen,stephen-jackson,24,F-G,6-8,218,"APR 05, 1978",23.0,R,Butler C.C. (KS),1536
6,1610612751,2000,00,Mark Strickland,Mark,mark-strickland,31,F,6-10,220,"JUL 14, 1970",30.0,5,Temple,1110
7,1610612751,2000,00,Aaron Williams,Aaron,aaron-williams,34,C-F,6-9,225,"OCT 02, 1971",29.0,6,Xavier,1425
8,1610612751,2000,00,Evan Eschmeyer,Evan,evan-eschmeyer,42,C,6-11,255,"MAY 30, 1975",26.0,1,Northwestern,1915
9,1610612751,2000,00,Keith Van Horn,Keith,keith-van-horn,44,F,6-10,255,"OCT 23, 1975",25.0,3,Utah,1496
10,1610612751,2000,00,Soumaila Samake,Soumaila,soumaila-samake,45,C,7-0,224,"MAR 18, 1978",23.0,R,Union Olimpija,2066
11,1610612751,2000,00,Vladimir Stepania,Vladimir,vladimir-stepania,50,C,7-0,236,"MAY 08, 1976",25.0,2,Union Olimpija,1735
0,1610612751,2001,00,Brandon Armstrong,Brandon,brandon-armstrong,1,G,6-5,188,"JUN 16, 1980",22.0,R,Pepperdine,2220
1,1610612751,2001,00,Jason Kidd,Jason,jason-kidd,5,G,6-4,212,"MAR 23, 1973",29.0,7,California,467
2,1610612751,2001,00,Kenyon Martin,Kenyon,kenyon-martin,6,F,6-9,234,"DEC 30, 1977",24.0,1,Cincinnati,2030
3,1610612751,2001,00,Anthony Johnson,Anthony,anthony-johnson,8,G,6-3,190,"OCT 02, 1974",27.0,4,College of Charleston,1533
4,1610612751,2001,00,Todd MacCulloch,Todd,todd-macculloch,11,C,7-0,280,"JAN 27, 1976",26.0,2,Washington,1928
5,1610612751,2001,00,Lucious Harris,Lucious,lucious-harris,12,G,6-5,205,"DEC 18, 1970",31.0,8,Long Beach State,446
6,1610612751,2001,00,Donny Marshall,Donny,donny-marshall,13,F,6-7,230,"JUL 17, 1972",29.0,3,Connecticut,681
7,1610612751,2001,00,Brian Scalabrine,Brian,brian-scalabrine,21,F,6-9,240,"MAR 18, 1978",24.0,R,Southern California,2243
8,1610612751,2001,00,Richard Jefferson,Richard,richard-jefferson,24,F,6-7,222,"JUN 21, 1980",22.0,R,Arizona,2210
9,1610612751,2001,00,Kerry Kittles,Kerry,kerry-kittles,30,G,6-5,180,"JUN 12, 1974",28.0,4,Villanova,954
10,1610612751,2001,00,Aaron Williams,Aaron,aaron-williams,34,C-F,6-9,240,"OCT 02, 1971",30.0,7,Xavier,1425
11,1610612751,2001,00,Jason Collins,Jason,jason-collins,35,C,7-0,260,"DEC 02, 1978",23.0,R,Stanford,2215
12,1610612751,2001,00,Keith Van Horn,Keith,keith-van-horn,44,F,6-10,255,"OCT 23, 1975",26.0,4,Utah,1496
0,1610612751,2002,00,Chris Childs,Chris,chris-childs,,G,6-3,195,"NOV 20, 1967",35.0,8,Boise State,164
1,1610612751,2002,00,Brandon Armstrong,Brandon,brandon-armstrong,1,G,6-5,185,"JUN 16, 1980",23.0,1,Pepperdine,2220
2,1610612751,2002,00,Jason Kidd,Jason,jason-kidd,5,G,6-4,212,"MAR 23, 1973",30.0,8,California,467
3,1610612751,2002,00,Kenyon Martin,Kenyon,kenyon-martin,6,F,6-9,234,"DEC 30, 1977",25.0,2,Cincinnati,2030
4,1610612751,2002,00,Tamar Slay,Tamar,tamar-slay,8,G,6-8,215,"APR 02, 1980",23.0,R,Marshall,2447
5,1610612751,2002,00,Lucious Harris,Lucious,lucious-harris,12,G,6-5,205,"DEC 18, 1970",32.0,9,Long Beach State,446
6,1610612751,2002,00,Donny Marshall,Donny,donny-marshall,13,F,6-7,230,"JUL 17, 1972",30.0,4,Connecticut,681
7,1610612751,2002,00,Jamie Feick,Jamie,jamie-feick,14,F,6-8,255,"JUL 03, 1974",28.0,5,Michigan State,994
8,1610612751,2002,00,John Celestand,John,john-celestand,20,G,6-3,190,"MAR 06, 1977",26.0,1,Villanova,1911
9,1610612751,2002,00,Brian Scalabrine,Brian,brian-scalabrine,21,F,6-9,240,"MAR 18, 1978",25.0,1,Southern California,2243
10,1610612751,2002,00,Richard Jefferson,Richard,richard-jefferson,24,F,6-7,222,"JUN 21, 1980",23.0,1,Arizona,2210
11,1610612751,2002,00,Kerry Kittles,Kerry,kerry-kittles,30,G,6-5,180,"JUN 12, 1974",29.0,5,Villanova,954
12,1610612751,2002,00,Aaron Williams,Aaron,aaron-williams,34,C-F,6-9,240,"OCT 02, 1971",31.0,8,Xavier,1425
13,1610612751,2002,00,Jason Collins,Jason,jason-collins,35,C,7-0,260,"DEC 02, 1978",24.0,1,Stanford,2215
14,1610612751,2002,00,Rodney Rogers,Rodney,rodney-rogers,54,F,6-7,255,"JUN 20, 1971",32.0,9,Wake Forest,915
15,1610612751,2002,00,Dikembe Mutombo,Dikembe,dikembe-mutombo,55,C,7-2,265,"JUN 25, 1966",37.0,11,Georgetown,87
0,1610612751,2003,00,Brandon Armstrong,Brandon,brandon-armstrong,1,G,6-5,185,"JUN 16, 1980",24.0,2,Pepperdine,2220
1,1610612751,2003,00,Jason Kidd,Jason,jason-kidd,5,G,6-4,212,"MAR 23, 1973",31.0,9,California,467
2,1610612751,2003,00,Kenyon Martin,Kenyon,kenyon-martin,6,F,6-9,234,"DEC 30, 1977",26.0,3,Cincinnati,2030
3,1610612751,2003,00,Tamar Slay,Tamar,tamar-slay,8,G,6-8,215,"APR 02, 1980",24.0,1,Marshall,2447
4,1610612751,2003,00,Zoran Planinic,Zoran,zoran-planinic,10,G-F,6-7,195,"SEP 12, 1982",21.0,R,Cibona,2565
5,1610612751,2003,00,Lucious Harris,Lucious,lucious-harris,12,G,6-5,205,"DEC 18, 1970",33.0,10,Long Beach State,446
6,1610612751,2003,00,Brian Scalabrine,Brian,brian-scalabrine,21,F,6-9,240,"MAR 18, 1978",26.0,2,Southern California,2243
7,1610612751,2003,00,Richard Jefferson,Richard,richard-jefferson,24,F,6-7,222,"JUN 21, 1980",24.0,2,Arizona,2210
8,1610612751,2003,00,Kerry Kittles,Kerry,kerry-kittles,30,G,6-5,180,"JUN 12, 1974",30.0,6,Villanova,954
9,1610612751,2003,00,Alonzo Mourning,Alonzo,alonzo-mourning,33,C,6-10,261,"FEB 08, 1970",34.0,10,Georgetown,297
10,1610612751,2003,00,Aaron Williams,Aaron,aaron-williams,34,C-F,6-9,240,"OCT 02, 1971",32.0,9,Xavier,1425
11,1610612751,2003,00,Jason Collins,Jason,jason-collins,35,C,7-0,260,"DEC 02, 1978",25.0,2,Stanford,2215
12,1610612751,2003,00,Hubert Davis,Hubert,hubert-davis,44,G,6-5,183,"MAY 17, 1970",34.0,11,North Carolina,93
13,1610612751,2003,00,Rodney Rogers,Rodney,rodney-rogers,54,F,6-7,255,"JUN 20, 1971",33.0,10,Wake Forest,915
0,1610612751,2004,00,Rodney Buford,Rodney,rodney-buford,2,F-G,6-5,195,"NOV 02, 1977",27.0,4,Creighton,1934
1,1610612751,2004,00,Jason Kidd,Jason,jason-kidd,5,G,6-4,210,"MAR 23, 1973",32.0,10,California,467
2,1610612751,2004,00,Travis Best,Travis,travis-best,6,G,5-11,182,"JUL 12, 1972",32.0,9,Georgia Tech,696
3,1610612751,2004,00,Zoran Planinic,Zoran,zoran-planinic,10,G-F,6-7,200,"SEP 12, 1982",22.0,1,Cibona,2565
4,1610612751,2004,00,Jacque Vaughn,Jacque,jacque-vaughn,11,G,6-1,190,"FEB 11, 1975",30.0,7,Kansas,1521
5,1610612751,2004,00,Nenad Krstic,Nenad,nenad-krstic,12,C,7-0,240,"JUL 25, 1983",21.0,R,Partizan,2420
6,1610612751,2004,00,Vince Carter,Vince,vince-carter,15,F-G,6-6,220,"JAN 26, 1977",28.0,6,North Carolina,1713
7,1610612751,2004,00,Billy Thomas,Billy,billy-thomas,20,G,6-5,218,"DEC 23, 1975",29.0,R,Kansas,2873
8,1610612751,2004,00,Brian Scalabrine,Brian,brian-scalabrine,21,F,6-9,235,"MAR 18, 1978",27.0,3,Southern California,2243
9,1610612751,2004,00,Richard Jefferson,Richard,richard-jefferson,24,G-F,6-7,225,"JUN 21, 1980",25.0,3,Arizona,2210
10,1610612751,2004,00,Clifford Robinson,Clifford,clifford-robinson,30,F-C,6-10,240,"DEC 16, 1966",38.0,15,Connecticut,361
11,1610612751,2004,00,Jason Collins,Jason,jason-collins,35,F-C,7-0,255,"DEC 02, 1978",26.0,3,Stanford,2215
12,1610612751,2004,00,Jabari Smith,Jabari,jabari-smith,55,C,6-11,250,"FEB 12, 1977",28.0,3,Louisiana State,2074
0,1610612751,2005,00,Jason Kidd,Jason,jason-kidd,5,G,6-4,210,"MAR 23, 1973",33.0,11,California,467
1,1610612751,2005,00,Bostjan Nachbar,Bostjan,bostjan-nachbar,7,F,6-9,221,"JUL 03, 1980",25.0,3,Benetton Treviso,2411
2,1610612751,2005,00,Zoran Planinic,Zoran,zoran-planinic,10,G-F,6-7,200,"SEP 12, 1982",23.0,2,Cibona,2565
3,1610612751,2005,00,Jacque Vaughn,Jacque,jacque-vaughn,11,G,6-1,190,"FEB 11, 1975",31.0,8,Kansas,1521
4,1610612751,2005,00,Nenad Krstic,Nenad,nenad-krstic,12,C,7-0,240,"JUL 25, 1983",22.0,1,Partizan,2420
5,1610612751,2005,00,Vince Carter,Vince,vince-carter,15,G,6-6,220,"JAN 26, 1977",29.0,7,North Carolina,1713
6,1610612751,2005,00,Antoine Wright,Antoine,antoine-wright,21,G-F,6-7,210,"FEB 06, 1984",22.0,R,Texas A&M,101120
7,1610612751,2005,00,Richard Jefferson,Richard,richard-jefferson,24,F-G,6-7,225,"JUN 21, 1980",26.0,4,Arizona,2210
8,1610612751,2005,00,Clifford Robinson,Clifford,clifford-robinson,30,F-C,6-10,240,"DEC 16, 1966",39.0,16,Connecticut,361
9,1610612751,2005,00,Lamond Murray,Lamond,lamond-murray,31,F,6-7,235,"APR 20, 1973",33.0,10,California,441
10,1610612751,2005,00,Scott Padgett,Scott,scott-padgett,34,F,6-9,240,"APR 19, 1976",30.0,6,Kentucky,1909
11,1610612751,2005,00,Jason Collins,Jason,jason-collins,35,F-C,7-0,255,"DEC 02, 1978",27.0,4,Stanford,2215
12,1610612751,2005,00,John Thomas,John,john-thomas,41,C,6-9,265,"SEP 08, 1975",30.0,4,Minnesota,1519
0,1610612751,2006,00,Marcus Williams,Marcus,marcus-williams,1,G,6-3,205,"DEC 03, 1985",21.0,R,Connecticut,200766
1,1610612751,2006,00,Josh Boone,Josh,josh-boone,2,F-C,6-10,245,"NOV 21, 1984",22.0,R,Connecticut,200767
2,1610612751,2006,00,Jason Kidd,Jason,jason-kidd,5,G,6-4,210,"MAR 23, 1973",34.0,12,California,467
3,1610612751,2006,00,Bostjan Nachbar,Bostjan,bostjan-nachbar,7,F,6-9,221,"JUL 03, 1980",26.0,4,Benetton Treviso,2411
4,1610612751,2006,00,Hassan Adams,Hassan,hassan-adams,8,F,6-4,220,"JUN 20, 1984",23.0,R,Arizona,200801
5,1610612751,2006,00,Mile Ilic,Mile,mile-ilic,9,C,7-1,255,"JUN 02, 1984",23.0,R,FMP,101148
6,1610612751,2006,00,Nenad Krstic,Nenad,nenad-krstic,12,C,7-0,260,"JUL 25, 1983",23.0,2,Partizan,2420
7,1610612751,2006,00,Vince Carter,Vince,vince-carter,15,G-F,6-6,220,"JAN 26, 1977",30.0,8,North Carolina,1713
8,1610612751,2006,00,Antoine Wright,Antoine,antoine-wright,21,F,6-7,215,"FEB 06, 1984",23.0,1,Texas A&M,101120
9,1610612751,2006,00,Bernard Robinson,Bernard,bernard-robinson,22,G-F,6-6,210,"DEC 26, 1980",26.0,2,Michigan,2774
10,1610612751,2006,00,Richard Jefferson,Richard,richard-jefferson,24,F-G,6-7,230,"JUN 21, 1980",27.0,5,Arizona,2210
11,1610612751,2006,00,Clifford Robinson,Clifford,clifford-robinson,30,F-C,6-10,245,"DEC 16, 1966",40.0,17,Connecticut,361
12,1610612751,2006,00,Mikki Moore,Mikki,mikki-moore,33,F-C,7-0,223,"NOV 04, 1975",31.0,8,Nebraska,1630
13,1610612751,2006,00,Jason Collins,Jason,jason-collins,35,F-C,7-0,260,"DEC 02, 1978",28.0,5,Stanford,2215
14,1610612751,2006,00,Eddie House,Eddie,eddie-house,50,G,6-1,175,"MAY 14, 1978",29.0,6,Arizona State,2067
0,1610612751,2007,00,Marcus Williams,Marcus,marcus-williams,1,G,6-3,205,"DEC 03, 1985",22.0,1,Connecticut,200766
1,1610612751,2007,00,Josh Boone,Josh,josh-boone,2,C,6-10,237,"NOV 21, 1984",23.0,1,Connecticut,200767
2,1610612751,2007,00,Stromile Swift,Stromile,stromile-swift,6,F-C,6-10,220,"NOV 21, 1979",28.0,7,Louisiana State,2031
3,1610612751,2007,00,Bostjan Nachbar,Bostjan,bostjan-nachbar,7,F,6-9,221,"JUL 03, 1980",27.0,5,Benetton Treviso,2411
4,1610612751,2007,00,Darrell Armstrong,Darrell,darrell-armstrong,10,G,6-1,180,"JUN 22, 1968",40.0,13,Fayetteville State,353
5,1610612751,2007,00,Nenad Krstic,Nenad,nenad-krstic,12,F-C,7-0,240,"JUL 25, 1983",24.0,3,Partizan,2420
6,1610612751,2007,00,Maurice Ager,Maurice,maurice-ager,13,F-G,6-5,202,"FEB 09, 1984",24.0,1,Michigan State,200772
7,1610612751,2007,00,DeSagana Diop,DeSagana,desagana-diop,14,C,7-0,280,"JAN 30, 1982",26.0,6,No College,2205
8,1610612751,2007,00,Vince Carter,Vince,vince-carter,15,G,6-6,220,"JAN 26, 1977",31.0,9,North Carolina,1713
9,1610612751,2007,00,Richard Jefferson,Richard,richard-jefferson,24,F,6-7,225,"JUN 21, 1980",28.0,6,Arizona,2210
10,1610612751,2007,00,Devin Harris,Devin,devin-harris,34,G,6-3,185,"FEB 27, 1983",25.0,3,Wisconsin,2734
11,1610612751,2007,00,Trenton Hassell,Trenton,trenton-hassell,44,F,6-5,233,"MAR 04, 1979",29.0,6,Austin Peay,2239
12,1610612751,2007,00,Sean Williams,Sean,sean-williams,51,F-C,6-10,235,"SEP 13, 1986",21.0,R,Boston College,201157
